id,object,url,data_updated_at,created_at,subject_id,subject_type,meaning_correct,meaning_incorrect,meaning_max_streak,meaning_current_streak,reading_correct,reading_incorrect,reading_max_streak,reading_current_streak,percentage_correct,hidden
345212810,review_statistic,https://api.wanikani.com/v2/review_statistics/345212810,2024-07-23T09:32:19.077401Z,2024-01-22T01:40:27.368558Z,464,kanji,12,0,12,12,12,2,7,7,92,False
345212842,review_statistic,https://api.wanikani.com/v2/review_statistics/345212842,2024-07-13T06:23:12.765494Z,2024-01-22T01:40:43.766711Z,470,kanji,8,0,8,8,8,0,8,8,100,False
345212848,review_statistic,https://api.wanikani.com/v2/review_statistics/345212848,2024-07-13T06:44:26.292532Z,2024-01-22T01:40:46.572816Z,473,kanji,8,0,8,8,8,0,8,8,100,False
345212852,review_statistic,https://api.wanikani.com/v2/review_statistics/345212852,2024-07-13T06:44:00.126382Z,2024-01-22T01:40:48.946363Z,463,kanji,8,0,8,8,8,0,8,8,100,False
345212854,review_statistic,https://api.wanikani.com/v2/review_statistics/345212854,2024-12-20T04:30:52.307085Z,2024-01-22T01:40:50.530928Z,472,kanji,8,0,8,8,8,0,8,8,100,False
345528520,review_statistic,https://api.wanikani.com/v2/review_statistics/345528520,2024-07-15T10:41:19.572155Z,2024-01-24T00:27:49.298206Z,475,kanji,8,0,8,8,8,0,8,8,100,False
345528529,review_statistic,https://api.wanikani.com/v2/review_statistics/345528529,2024-07-15T10:18:07.611494Z,2024-01-24T00:27:54.886151Z,479,kanji,8,0,8,8,8,0,8,8,100,False
345528537,review_statistic,https://api.wanikani.com/v2/review_statistics/345528537,2025-02-04T14:25:58.545371Z,2024-01-24T00:27:59.358854Z,469,kanji,8,0,8,8,8,0,8,8,100,False
345528540,review_statistic,https://api.wanikani.com/v2/review_statistics/345528540,2025-02-04T12:52:24.633569Z,2024-01-24T00:28:01.432129Z,474,kanji,8,0,8,8,8,0,8,8,100,False
345528559,review_statistic,https://api.wanikani.com/v2/review_statistics/345528559,2024-07-15T11:28:53.802024Z,2024-01-24T00:28:09.749813Z,477,kanji,8,0,8,8,8,0,8,8,100,False
345529143,review_statistic,https://api.wanikani.com/v2/review_statistics/345529143,2025-03-06T20:27:09.298945Z,2024-01-24T00:32:52.845990Z,481,kanji,8,0,8,8,8,0,8,8,100,False
345529151,review_statistic,https://api.wanikani.com/v2/review_statistics/345529151,2024-07-15T09:56:19.619320Z,2024-01-24T00:32:54.787171Z,480,kanji,8,0,8,8,8,0,8,8,100,False
345529189,review_statistic,https://api.wanikani.com/v2/review_statistics/345529189,2024-07-15T10:01:51.752590Z,2024-01-24T00:33:06.370440Z,485,kanji,8,0,8,8,8,0,8,8,100,False
345529192,review_statistic,https://api.wanikani.com/v2/review_statistics/345529192,2025-02-04T13:08:44.355207Z,2024-01-24T00:33:07.945904Z,482,kanji,8,0,8,8,8,0,8,8,100,False
345529197,review_statistic,https://api.wanikani.com/v2/review_statistics/345529197,2024-08-28T13:40:55.976010Z,2024-01-24T00:33:09.482598Z,484,kanji,14,1,9,9,14,1,8,6,93,False
345703079,review_statistic,https://api.wanikani.com/v2/review_statistics/345703079,2024-07-25T10:07:51.941440Z,2024-01-25T03:03:12.161811Z,488,kanji,12,0,12,12,12,2,7,7,92,False
345703114,review_statistic,https://api.wanikani.com/v2/review_statistics/345703114,2024-07-17T10:59:38.490873Z,2024-01-25T03:03:22.400887Z,490,kanji,8,0,8,8,8,0,8,8,100,False
345703129,review_statistic,https://api.wanikani.com/v2/review_statistics/345703129,2024-12-29T03:29:23.370831Z,2024-01-25T03:03:28.445751Z,486,kanji,12,0,12,12,12,2,8,4,92,False
345703177,review_statistic,https://api.wanikani.com/v2/review_statistics/345703177,2024-07-17T11:12:02.340870Z,2024-01-25T03:03:55.565925Z,489,kanji,8,0,8,8,8,0,8,8,100,False
345703182,review_statistic,https://api.wanikani.com/v2/review_statistics/345703182,2024-07-18T12:13:14.476117Z,2024-01-25T03:03:58.817548Z,487,kanji,11,0,11,11,11,2,8,8,92,False
345704307,review_statistic,https://api.wanikani.com/v2/review_statistics/345704307,2024-07-17T11:02:22.957156Z,2024-01-25T03:15:40.254305Z,494,kanji,8,0,8,8,8,0,8,8,100,False
